UnitID,Institution Name,Control of institution (HD2023),Full-time 12-month unduplicated headcount (DRVEF122023),Full-time undergraduate 12-month unduplicated headcount (DRVEF122023),Total 12-month unduplicated headcount (DRVEF122023),Graduation rate - Bachelor degree within 4 years  total (DRVGR2023),Graduation rate  total cohort (DRVGR2023),Instruction expenses per FTE  (GASB) (DRVF2023),Instruction expenses per FTE  (FASB) (DRVF2023),Instruction expenses per FTE (for-profit institutions) (DRVF2023),Full-time retention rate  2023 (EF2023D),Percent admitted - total (DRVADM2022),Admissions yield - total (DRVADM2022),Full-time 12-month unduplicated headcount (DRVEF122022),Full-time undergraduate 12-month unduplicated headcount (DRVEF122022),Total 12-month unduplicated headcount (DRVEF122022),Graduation rate - Bachelor degree within 4 years  total (DRVGR2022),Graduation rate  total cohort (DRVGR2022),Instruction expenses per FTE  (GASB) (DRVF2022),Instruction expenses per FTE  (FASB) (DRVF2022),Instruction expenses per FTE (for-profit institutions) (DRVF2022),Full-time retention rate  2022 (EF2022D),Percent admitted - total (DRVADM2021),Admissions yield - total (DRVADM2021),Graduation rate - Bachelor degree within 4 years  total (DRVGR2021),Graduation rate  total cohort (DRVGR2021),Instruction expenses per FTE  (GASB) (DRVF2021),Instruction expenses per FTE  (FASB) (DRVF2021),Instruction expenses per FTE (for-profit institutions) (DRVF2021),Full-time retention rate  2021 (EF2021D),Percent admitted - total (DRVADM2020),Admissions yield - total (DRVADM2020),Graduation rate - Bachelor degree within 4 years  total (DRVGR2020),Graduation rate  total cohort (DRVGR2020),Instruction expenses per FTE  (GASB) (DRVF2020),Instruction expenses per FTE  (FASB) (DRVF2020),Instruction expenses per FTE (for-profit institutions) (DRVF2020),Full-time retention rate  2020 (EF2020D),Percent admitted - total (DRVADM2019),Admissions yield - total (DRVADM2019),Graduation rate - Bachelor degree within 4 years  total (DRVGR2019),Graduation rate  total cohort (DRVGR2019),Instruction expenses per FTE  (GASB) (DRVF2019),Instruction expenses per FTE  (FASB) (DRVF2019),Instruction expenses per FTE (for-profit institutions) (DRVF2019),Full-time retention rate  2019 (EF2019D),Percent admitted - total (DRVADM2018),Admissions yield - total (DRVADM2018),Graduation rate - Bachelor degree within 4 years  total (DRVGR2018),Graduation rate  total cohort (DRVGR2018),Instruction expenses per FTE  (GASB) (DRVF2018),Instruction expenses per FTE  (FASB) (DRVF2018),Instruction expenses per FTE (for-profit institutions) (DRVF2018),Full-time retention rate  2018 (EF2018D),Percent admitted - total (DRVADM2017),Admissions yield - total (DRVADM2017),Graduation rate - Bachelor degree within 4 years  total (DRVGR2017),Graduation rate  total cohort (DRVGR2017),Instruction expenses per FTE  (GASB) (DRVF2017),Instruction expenses per FTE  (FASB) (DRVF2017),Instruction expenses per FTE (for-profit institutions) (DRVF2017),Full-time retention rate  2017 (EF2017D),Percent admitted - total (DRVADM2016),Admissions yield - total (DRVADM2016),Graduation rate - Bachelor degree within 4 years  total (DRVGR2016),Graduation rate  total cohort (DRVGR2016),Instruction expenses per FTE  (GASB) (DRVF2016),Instruction expenses per FTE  (FASB) (DRVF2016),Instruction expenses per FTE (for-profit institutions) (DRVF2016),Full-time retention rate  2016 (EF2016D),Percent admitted - total (DRVADM2015),Admissions yield - total (DRVADM2015),Graduation rate - Bachelor degree within 4 years  total (DRVGR2015),Graduation rate  total cohort (DRVGR2015),Instruction expenses per FTE  (GASB) (DRVF2015),Instruction expenses per FTE  (FASB) (DRVF2015),Instruction expenses per FTE (for-profit institutions) (DRVF2015),Full-time retention rate  2015 (EF2015D),Percent admitted - total (DRVADM2014),Admissions yield - total (DRVADM2014),Graduation rate - Bachelor degree within 4 years  total (DRVGR2014),Graduation rate  total cohort (DRVGR2014),Instruction expenses per FTE  (GASB) (DRVF2014),Instruction expenses per FTE  (FASB) (DRVF2014),Instruction expenses per FTE (for-profit institutions) (DRVF2014),Full-time retention rate  2014 (EF2014D),Percent admitted - total (DRVIC2013),Admissions yield - total (DRVIC2013),State abbreviation (HD2022),Full-time undergraduate 12-month unduplicated headcount (DRVEF122021),Total 12-month unduplicated headcount (DRVEF122021),Full-time undergraduate 12-month unduplicated headcount (DRVEF122020),Total 12-month unduplicated headcount (DRVEF122020),12-month unduplicated headcount  total: 2018-19 (DRVEF122019),12-month unduplicated headcount  total: 2017-18 (DRVEF122018),12-month unduplicated headcount  total: 2016-17 (DRVEF122017),12-month unduplicated headcount  total: 2015-16 (DRVEF122016),12-month unduplicated headcount  total: 2014-15 (DRVEF122015),12-month unduplicated headcount  total: 2013-14 (DRVEF122014),Carnegie Classification 2025: Institutional Classification (HD2024),Carnegie Classification 2025: Research Activity Designation (HD2024),Carnegie Classification 2025: Institutional Size (HD2024)
177834,A T Still University of Health Sciences,2,3114,0,4275,,,,21523,,,,,3021,0,4250,,,,20565,,,,,,,,20832,,,,,,,,21572,,,,,,,,21137,,,,,,,,21432,,,,,,,,20322,,,,,,,,20283,,,,,,,,19405,,,,,,,,17005,,,,,MO,0,4346,0,4267,4307,4311,4303,4123,4109,3838,27,,3
461892,Abcott Institute,3,257,257,257,,100,,,6522,63,,,206,206,206,,18,,,6147,56,,,,65,,,3477,28,,,,59,,,2227,22,,,,59,,,1043,68,,,,70,,,1830,75,,,,97,,,2806,63,,,,85,,,5032,77,,,,100,,,3367,95,,,,75,,,2818,78,,,MI,283,283,284,284,283,317,204,239,234,210,,,
497374,Academia Medical Institute,3,147,147,147,,,,,1375,67,51,56,72,72,72,,91,,,2165,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH,,,,,,,,,,,,,
172866,Academy College,3,140,140,140,67,100,,,7669,67,,,155,155,155,100,100,,,6308,0,,,40,100,,,3874,100,,,,,,,3962,100,,,,0,,,3928,60,,,,0,,,5526,0,,,100,63,,,5462,0,,,,0,,,3211,100,,,50,75,,,3371,,,,0,14,,,2785,,,,MN,124,135,126,140,145,118,149,177,194,170,15,,1
489122,Academy of Beauty Professionals,3,58,58,111,,67,,,7928,100,,,40,40,83,,21,,,8342,100,,,,54,,,8152,56,,,,57,,,7276,69,,,,60,,,7832,79,,,,,,,10739,81,,,,,,,6387,67,,,,,,,7787,0,,,,,,,,,,,,,,,,,,,WI,39,78,66,66,50,46,52,37,,,,,
489131,Academy of Beauty Professionals,3,58,58,123,,63,,,7818,100,,,60,60,129,,30,,,5937,67,,,,68,,,6040,100,,,,56,,,5767,64,,,,86,,,5966,75,,,,,,,7382,84,,,,,,,5013,78,,,,,,,8137,,,,,,,,,,,,,,,,,,,,WI,58,102,79,79,82,71,42,25,,,,,
489140,Academy of Beauty Professionals,3,55,55,158,,57,,,6326,89,,,66,66,161,,37,,,4932,88,,,,54,,,6697,60,,,,71,,,5210,54,,,,67,,,5084,63,,,,,,,5773,78,,,,,,,8049,75,,,,,,,6493,100,,,,,,,,,,,,,,,,,,,WI,120,120,91,91,99,46,44,30,,,,,
421771,Academy of Beauty Professionals,3,51,51,72,,40,,,10243,57,,,64,64,79,,44,,,5034,60,,,,56,,,3254,100,,,,64,,,5582,57,,,,67,,,7787,75,,,,71,,,8963,50,,,,76,,,7565,100,,,,60,,,6363,67,,,,71,,,8728,100,,,,65,,,6293,80,,,MO,36,36,41,41,47,60,56,64,66,72,,,
451334,Academy of Hair Design-Springfield,3,228,228,422,,60,,,5312,69,,,298,298,430,,54,,,4590,77,,,,67,,,3895,75,,,,60,,,2700,49,,,,62,,,2261,83,,,,61,,,3912,82,,,,76,,,6609,79,,,,77,,,3386,75,,,,78,,,2067,81,,,,81,,,4240,95,,,MO,315,416,259,350,404,332,291,305,227,161,,,
480879,Academy of Salon Professionals,3,93,93,93,,67,,,3098,86,,,78,78,78,,54,,,2080,71,,,,73,,,2260,67,,,,59,,,2261,80,,,,67,,,1931,40,,,,43,,,1527,57,,,,62,,,1821,83,,,,86,,,1830,100,,,,56,,,1595,67,,,,78,,,1677,50,,,MO,71,71,68,68,68,83,74,67,49,37,,,
500069,ACUPUNCTURE AND MASSAGE SCHOOL OF ORIENTAL MEDICINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374024,Adler Graduate School,2,13,0,233,,,,8548,,,,,10,0,322,,,,8066,,,,,,,,7534,,,,,,,,8276,,,,,,,,8296,,,,,,,,7097,,,,,,,,7815,,,,,,,,10212,,,,,,,,7337,,,,,,,,6884,,,,,MN,0,346,0,415,448,440,471,445,477,430,29,,1
142832,Adler University,2,1273,0,2452,,,,11699,,,,,1301,0,2518,,,,12039,,,,,,,,11296,,,,,,,,11782,,,,,,,,12065,,,,,,,,17214,,,,,,,,15945,,,,,,,,15110,,,,,,,,14651,,,,,,,,14389,,,,,IL,0,2365,0,2102,2064,1511,1554,1469,1313,1234,25,,2
168528,Adrian College,2,1758,1696,1892,44,56,,8167,,60,69,22,1801,1748,1925,40,51,,7830,,67,76,28,39,53,,8323,,66,61,20,51,54,,8946,,66,56,19,35,50,,9029,,64,65,19,30,45,,8991,,71,60,18,38,52,,8976,,64,58,15,47,53,,8661,,69,61,16,36,54,,8868,,71,62,15,44,57,,8616,,60,56,19,MI,1751,1918,1753,1858,1947,1800,1768,1794,1685,1656,15,,2
