UnitID,Institution Name,year,Post-covid,Control of institution (HD2023),Carnegie Classification 2025: Institutional Classification (HD2024),Carnegie Classification 2025: Research Activity Designation (HD2024),Carnegie Classification 2025: Institutional Size (HD2024),State abbreviation (HD2022),Full-time retention rate,Percent Admitted,Admission yield,Graduation rate total cohort,Graduation rate - within 4 years total,Total 12-month unduplicated headcount,Instruction expenses per FTE,School Type,expense_group,treat,Post_2017,year_rel
143084,Augustana College,2014,0,2,5,NA,2,IL,83,49,20,74,71,2543,10237,SLA,Medium Expenses,0,0,-3
143084,Augustana College,2015,0,2,5,NA,2,IL,86,52,21,76,70,2571,10622,SLA,Medium Expenses,0,0,-2
143084,Augustana College,2016,0,2,5,NA,2,IL,89,59,18,77,71,2591,10083,SLA,Medium Expenses,0,0,-1
143084,Augustana College,2017,0,2,5,NA,2,IL,87,64,16,75,70,2696,9833,SLA,Low Expenses,0,0,0
143084,Augustana College,2018,0,2,5,NA,2,IL,88,57,18,74,70,2601,10313,SLA,Medium Expenses,0,1,1
143084,Augustana College,2019,0,2,5,NA,2,IL,83,57,14,71,65,NA,10477,SLA,Medium Expenses,0,1,2
143084,Augustana College,2020,0,2,5,NA,2,IL,85,69,14,77,73,2611,10649,SLA,Medium Expenses,0,1,3
143288,Blackburn College,2014,0,2,5,NA,1,IL,62,55,27,39,30,620,7214,SLA,Low Expenses,0,0,-3
143288,Blackburn College,2015,0,2,5,NA,1,IL,65,54,32,42,32,626,6587,SLA,Low Expenses,0,0,-2
143288,Blackburn College,2016,0,2,5,NA,1,IL,65,60,26,42,31,623,6604,SLA,Low Expenses,0,0,-1
143288,Blackburn College,2017,0,2,5,NA,1,IL,56,52,38,48,45,584,6523,SLA,Low Expenses,0,0,0
143288,Blackburn College,2018,0,2,5,NA,1,IL,70,57,31,52,34,582,7460,SLA,Low Expenses,0,1,1
143288,Blackburn College,2019,0,2,5,NA,1,IL,57,55,29,41,29,NA,7732,SLA,Low Expenses,0,1,2
143288,Blackburn College,2020,0,2,5,NA,1,IL,69,66,26,45,37,553,8000,SLA,Low Expenses,0,1,3
144050,University of Chicago,2014,0,2,6,1,4,IL,99,8,61,93,87,17177,83779,LRI,High Expenses,1,0,-3
144050,University of Chicago,2015,0,2,6,1,4,IL,100,8,64,92,86,17229,85372,LRI,High Expenses,1,0,-2
144050,University of Chicago,2016,0,2,6,1,4,IL,99,9,72,94,89,18141,88004,LRI,High Expenses,1,0,-1
144050,University of Chicago,2017,0,2,6,1,4,IL,99,7,77,93,88,18350,89151,LRI,High Expenses,1,0,0
144050,University of Chicago,2018,0,2,6,1,4,IL,99,6,81,94,89,19659,82127,LRI,High Expenses,1,1,1
144050,University of Chicago,2019,0,2,6,1,4,IL,99,7,74,95,90,NA,85108,LRI,High Expenses,1,1,2
144050,University of Chicago,2020,0,2,6,1,4,IL,100,6,83,96,91,20413,86008,LRI,High Expenses,1,1,3
144740,DePaul University,2014,0,2,16,2,4,IL,87,72,18,71,56,28321,12896,LRI,Medium Expenses,1,0,-3
144740,DePaul University,2015,0,2,16,2,4,IL,84,70,16,73,56,27943,11704,LRI,Medium Expenses,1,0,-2
144740,DePaul University,2016,0,2,16,2,4,IL,85,72,16,73,59,27651,12165,LRI,Medium Expenses,1,0,-1
144740,DePaul University,2017,0,2,16,2,4,IL,84,68,15,71,59,27128,12582,LRI,Medium Expenses,1,0,0
144740,DePaul University,2018,0,2,16,2,4,IL,86,68,14,72,59,26721,12639,LRI,Medium Expenses,1,1,1
144740,DePaul University,2019,0,2,16,2,4,IL,85,70,14,74,61,NA,13859,LRI,Medium Expenses,1,1,2
144740,DePaul University,2020,0,2,16,2,4,IL,83,69,13,71,58,25937,12978,LRI,Medium Expenses,1,1,3
144883,East-West University,2014,0,2,5,NA,2,IL,31,NA,NA,10,5,765,5079,SLA,Low Expenses,0,0,-3
144883,East-West University,2015,0,2,5,NA,2,IL,39,NA,NA,8,0,695,5972,SLA,Low Expenses,0,0,-2
144883,East-West University,2016,0,2,5,NA,2,IL,43,41,19,11,10,624,6097,SLA,Low Expenses,0,0,-1
144883,East-West University,2017,0,2,5,NA,2,IL,42,NA,NA,11,6,602,6050,SLA,Low Expenses,0,0,0
