UnitID,Institution Name,year,Post-covid,Control of institution (HD2023),Carnegie Classification 2025: Institutional Classification (HD2024),Carnegie Classification 2025: Research Activity Designation (HD2024),Carnegie Classification 2025: Institutional Size (HD2024),State abbreviation (HD2022),Full-time retention rate,Percent Admitted,Admission yield,Graduation rate total cohort,Graduation rate - within 4 years total,Total 12-month unduplicated headcount,Instruction expenses per FTE,School Type
143084,Augustana College,2014,0,2,5,NA,2,IL,83,49,20,74,71,2543,10237,SLA
143084,Augustana College,2015,0,2,5,NA,2,IL,86,52,21,76,70,2571,10622,SLA
143084,Augustana College,2016,0,2,5,NA,2,IL,89,59,18,77,71,2591,10083,SLA
143084,Augustana College,2017,0,2,5,NA,2,IL,87,64,16,75,70,2696,9833,SLA
143084,Augustana College,2018,0,2,5,NA,2,IL,88,57,18,74,70,2601,10313,SLA
143084,Augustana College,2019,0,2,5,NA,2,IL,83,57,14,71,65,NA,10477,SLA
143084,Augustana College,2020,0,2,5,NA,2,IL,85,69,14,77,73,2611,10649,SLA
143084,Augustana College,2021,1,2,5,NA,2,IL,85,61,14,79,76,2461,10473,SLA
143084,Augustana College,2022,1,2,5,NA,2,IL,81,NA,NA,78,74,2446,10776,SLA
143084,Augustana College,2023,1,2,5,NA,2,IL,83,NA,NA,79,73,2476,11360,SLA
143288,Blackburn College,2014,0,2,5,NA,1,IL,62,55,27,39,30,620,7214,SLA
143288,Blackburn College,2015,0,2,5,NA,1,IL,65,54,32,42,32,626,6587,SLA
143288,Blackburn College,2016,0,2,5,NA,1,IL,65,60,26,42,31,623,6604,SLA
143288,Blackburn College,2017,0,2,5,NA,1,IL,56,52,38,48,45,584,6523,SLA
143288,Blackburn College,2018,0,2,5,NA,1,IL,70,57,31,52,34,582,7460,SLA
143288,Blackburn College,2019,0,2,5,NA,1,IL,57,55,29,41,29,NA,7732,SLA
143288,Blackburn College,2020,0,2,5,NA,1,IL,69,66,26,45,37,553,8000,SLA
143288,Blackburn College,2021,1,2,5,NA,1,IL,67,64,21,46,36,559,10096,SLA
143288,Blackburn College,2022,1,2,5,NA,1,IL,38,NA,NA,36,25,467,9688,SLA
143288,Blackburn College,2023,1,2,5,NA,1,IL,58,NA,NA,52,43,440,11135,SLA
144050,University of Chicago,2014,0,2,6,1,4,IL,99,8,61,93,87,17177,83779,LRI
